threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.38,0.24
0.05,0.44,0.84,0.58,0.71
0.1,0.47,0.82,0.6,0.74
0.15,0.5,0.82,0.62,0.76
0.2,0.53,0.82,0.64,0.79
0.25,0.54,0.82,0.65,0.8
0.3,0.55,0.82,0.66,0.8
0.35,0.56,0.82,0.67,0.81
0.4,0.56,0.78,0.65,0.81
0.45,0.57,0.73,0.64,0.81
0.5,0.58,0.73,0.65,0.81
0.55,0.6,0.73,0.66,0.82
0.6,0.6,0.71,0.65,0.82
0.65,0.64,0.71,0.67,0.84
0.7,0.64,0.71,0.67,0.84
0.75,0.65,0.71,0.68,0.84
0.8,0.69,0.6,0.64,0.84
0.85,0.71,0.6,0.65,0.85
0.9,0.75,0.6,0.67,0.86
0.95,0.77,0.51,0.61,0.85
1.0,0.92,0.49,0.64,0.87
