threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.38,0.24
0.05,0.59,0.98,0.74,0.84
0.1,0.66,0.87,0.75,0.86
0.15,0.64,0.76,0.69,0.84
0.2,0.64,0.76,0.69,0.84
0.25,0.65,0.76,0.7,0.85
0.3,0.65,0.76,0.7,0.85
0.35,0.65,0.76,0.7,0.85
0.4,0.65,0.76,0.7,0.85
0.45,0.65,0.76,0.7,0.85
0.5,0.65,0.76,0.7,0.85
0.55,0.65,0.76,0.7,0.85
0.6,0.65,0.76,0.7,0.85
0.65,0.65,0.76,0.7,0.85
0.7,0.65,0.73,0.69,0.84
0.75,0.65,0.73,0.69,0.84
0.8,0.65,0.73,0.69,0.84
0.85,0.66,0.73,0.69,0.85
0.9,0.66,0.73,0.69,0.85
0.95,0.68,0.71,0.7,0.85
1.0,0.0,0.0,0.0,0.76
